Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,4.00000000000000073379e-04 with 64 bits of precision,9.35380055494779543608e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,3.00000000000000027929e-04 with 64 bits of precision,9.35380055602630929968e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.99999999999999982479e-04 with 64 bits of precision,9.35380055720839176615e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.0000000000000004545e-04 with 64 bits of precision,5.01942646995750724182e+06 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.00000000000000004792e-04 with 64 bits of precision,5.01942646995750724182e+06 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,9.00000000000000056682e-05 with 64 bits of precision,4.02619697594408197801e+07 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,8.00000000000000065442e-05 with 64 bits of precision,4.02619697594676015178e+07 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,7.00000000000000074203e-05 with 64 bits of precision,5.21864537128743570793e+07 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,6.00000000000000015201e-05 with 64 bits of precision,9.93534809557539828602e+07 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,5.00000000000000023961e-05 with 64 bits of precision,1.46520508198672371625e+08 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,4.00000000000000032721e-05 with 64 bits of precision,4.33606718070150453888e+08 with 64 bits of precision]
